849
676 847
16 330
400 81
530 585
472 485
815 560
540 62
464 631
419 284
591 442
491 15
296 15
292 812
361 429
9 238
787 208
756 283
329 687
592 742
10 73
7 9
39 396
150 72
799 204
36 321
698 275
23 14
171 145
147 408
240 317
438 404
224 116
309 25
145 153
711 463
443 77
165 495
197 105
489 210
457 135
313 566
252 407
346 172
622 171
540 780
380 778
292 175
592 840
2 744
363 505
406 160
76 145
63 355
83 810
141 37
39 144
77 832
548 705
547 259
257 299
821 211
12 6
65 101
405 455
611 523
216 9
386 525
258 368
387 15
319 747
173 214
1 7
506 355
248 197
538 191
80 729
332 848
462 303
94 259
34 615
504 648
147 760
277 199
103 195
29 707
232 829
181 206
632 142
645 604
797 320
405 27
175 736
327 28
275 500
33 398
239 273
494 274
141 297
472 143
728 54
542 427
19 433
699 662
17 139
358 575
231 184
18 14
679 715
601 86
87 456
43 49
66 120
234 133
592 492
20 250
697 688
77 96
470 418
363 548
153 451
43 24
133 262
39 174
653 426
404 11
776 400
57 28
21 19
401 326
232 270
116 774
492 509
479 25
364 298
846 845
501 568
565 806
69 431
143 152
345 129
172 514
60 43
52 18
69 127
499 89
275 164
565 666
385 335
38 366
8 20
175 319
527 635
173 623
606 574
352 176
684 649
620 51
820 760
267 803
693 194
786 363
573 10
633 277
535 322
583 300
837 172
421 387
24 23
114 61
746 132
224 311
51 14
541 727
753 19
315 64
406 409
87 668
106 142
41 554
545 344
163 257
87 488
10 5
265 655
183 181
18 659
64 58
2 26
771 126
767 276
66 85
66 536
104 650
98 29
443 467
325 704
174 177
143 56
75 4
235 160
709 553
327 689
9 796
307 671
173 268
359 238
375 242
834 587
4 119
2 45
768 283
62 111
32 754
49 227
402 414
2 113
318 663
97 369
105 638
582 731
93 57
140 604
306 512
192 150
619 770
79 134
71 30
187 332
104 286
608 722
658 53
224 690
692 578
434 446
35 117
15 210
365 642
794 181
607 86
709 844
2 660
265 561
617 176
136 267
193 526
702 163
644 103
269 261
695 8
221 236
8 16
305 119
356 824
46 59
424 584
521 175
32 22
32 36
337 211
289 441
276 673
344 448
586 486
41 386
342 17
295 19
514 791
653 792
6 283
459 45
36 106
44 649
129 102
76 49
1 2
217 52
104 107
38 528
416 400
5 3
22 7
237 122
616 258
87 646
701 63
50 43
240 98
564 696
336 211
333 282
200 52
280 6
99 72
120 453
151 348
33 501
147 372
423 555
586 849
614 836
436 108
334 305
274 93
765 167
634 8
212 37
325 312
53 94
814 99
825 28
214 411
810 830
13 191
265 20
250 279
125 38
190 62
110 57
128 537
402 258
656 457
595 439
677 197
377 305
339 84
349 520
78 247
532 87
52 826
105 98
478 113
450 418
61 9
341 686
358 249
223 77
30 27
243 486
77 52
460 140
675 381
239 662
178 52
152 393
274 522
74 665
465 376
14 58
320 55
676 206
33 373
205 125
116 384
536 721
24 47
387 417
271 177
128 16
316 96
109 72
138 34
54 136
808 102
15 9
173 254
748 764
228 31
489 750
204 434
793 185
769 57
233 556
81 77
230 1
410 480
408 759
16 39
390 157
130 120
340 191
107 158
375 845
11 87
694 227
13 184
190 534
115 26
163 493
827 525
115 172
415 27
628 116
165 392
245 308
287 97
